# DEMO / PUBLIC DATA — synthetic ST-266-style secretome abundances. Not Noveome proprietary data.
# Rows = gene symbols; columns = lot_replicate LFQ-like intensities. See data/DEMO_PUBLIC_DATA.md.
gene,LotA_rep1,LotA_rep2,LotA_rep3,LotB_rep1,LotB_rep2,LotB_rep3,LotC_rep1,LotC_rep2,LotC_rep3,LotD_rep1,LotD_rep2,LotD_rep3
IGF1,6.4135e+08,7.4626e+08,6.4330e+08,6.9089e+08,5.5844e+08,8.0988e+08,6.9674e+08,6.8535e+08,5.7258e+08,7.0919e+08,7.5894e+08,6.6998e+08
IGF2,6.6027e+07,5.9980e+07,8.1104e+07,8.4453e+07,6.9475e+07,8.0392e+07,6.3829e+07,6.3163e+07,6.9788e+07,7.7980e+07,8.1622e+07,9.1131e+07
BDNF,1.4022e+07,1.5413e+07,1.1962e+07,1.4687e+07,1.6120e+07,1.5214e+07,1.5550e+07,1.4286e+07,1.5810e+07,1.6413e+07,1.6193e+07,1.5420e+07
NGF,2.5056e+07,3.3278e+07,2.6895e+07,2.7670e+07,3.0073e+07,2.7018e+07,2.7054e+07,2.5453e+07,2.9105e+07,2.8270e+07,3.2628e+07,3.0260e+07
CNTF,1.2695e+07,1.1043e+07,1.1883e+07,1.1108e+07,1.3607e+07,1.4453e+07,1.1836e+07,1.2904e+07,1.2237e+07,1.5668e+07,1.2874e+07,1.3834e+07
NTF3,4.0507e+07,4.8829e+07,4.3929e+07,4.6509e+07,4.5330e+07,4.6009e+07,4.7216e+07,4.3960e+07,4.0023e+07,4.7211e+07,4.4847e+07,4.6793e+07
FGF1,3.5611e+08,3.0133e+08,3.3237e+08,3.1043e+08,3.5222e+08,3.7903e+08,3.6277e+08,2.9961e+08,3.6516e+08,3.2519e+08,3.5894e+08,3.3061e+08
FGF7,4.5170e+08,5.4659e+08,5.0688e+08,5.4205e+08,5.3987e+08,5.4211e+08,5.0963e+08,5.3424e+08,5.4565e+08,6.0671e+08,4.9269e+08,4.9759e+08
HGF,4.5868e+08,5.1485e+08,5.0959e+08,6.1617e+08,5.3960e+08,5.1326e+08,4.9521e+08,4.8066e+08,3.8744e+08,4.8608e+08,5.5496e+08,6.5515e+08
EGF,5.5677e+08,5.6617e+08,5.5833e+08,5.6170e+08,5.5975e+08,5.5282e+08,5.9380e+08,5.6752e+08,6.2900e+08,5.7809e+08,5.9376e+08,5.8048e+08
HBEGF,1.2489e+08,1.4096e+08,1.2338e+08,1.3417e+08,1.2332e+08,1.2719e+08,1.1476e+08,1.4135e+08,1.3331e+08,1.2842e+08,1.2741e+08,1.2244e+08
PGF,3.5451e+06,4.3590e+06,4.6067e+06,4.7735e+06,4.4749e+06,4.9218e+06,4.4505e+06,4.4301e+06,4.1500e+06,4.6785e+06,4.4310e+06,4.6961e+06
ANGPT1,1.3078e+08,1.5898e+08,1.0916e+08,1.4275e+08,1.4130e+08,1.4633e+08,1.4977e+08,1.3091e+08,1.1767e+08,1.6538e+08,1.3741e+08,1.7464e+08
CXCL12,7.6483e+08,7.2335e+08,6.4377e+08,8.0425e+08,7.1666e+08,9.4546e+08,6.8304e+08,8.6022e+08,6.8280e+08,8.2771e+08,6.5070e+08,7.2400e+08
IL6,1.2303e+08,1.3440e+08,1.5266e+08,1.9845e+08,1.6759e+08,1.8154e+08,1.0874e+08,6.7860e+07,2.7602e+08,1.6394e+08,2.3811e+08,2.9363e+08
IL10,3.2185e+07,3.1820e+07,2.6493e+07,3.4161e+07,2.6414e+07,3.4461e+07,3.1922e+07,3.0436e+07,3.2501e+07,3.4130e+07,2.9033e+07,3.5576e+07
IL1RN,4.6005e+07,4.4502e+07,4.2799e+07,4.5112e+07,4.0757e+07,5.3000e+07,4.0079e+07,4.8087e+07,4.9706e+07,4.4392e+07,4.0914e+07,4.5961e+07
IL1B,5.6910e+08,6.6157e+08,5.6383e+08,7.1173e+08,6.4513e+08,5.2171e+08,5.8556e+08,6.0200e+08,5.4815e+08,6.7483e+08,6.3067e+08,5.9888e+08
SERPINA1,6.1858e+09,5.2633e+09,5.3964e+09,6.2192e+09,6.1594e+09,6.6637e+09,5.9859e+09,6.1199e+09,5.6580e+09,6.8821e+09,7.1904e+09,6.2356e+09
SERPINE1,6.4581e+07,6.1876e+07,6.0471e+07,6.0637e+07,6.6184e+07,6.4202e+07,5.1787e+07,6.3546e+07,5.5743e+07,5.9016e+07,6.8504e+07,6.3259e+07
SERPINB2,4.1271e+08,4.1707e+08,3.7265e+08,4.2499e+08,4.3660e+08,4.0612e+08,3.8581e+08,4.0071e+08,3.9704e+08,4.9093e+08,4.3955e+08,4.2435e+08
FN1,2.1320e+09,2.5267e+09,2.2905e+09,2.4175e+09,2.5572e+09,2.1845e+09,2.2675e+09,2.2846e+09,2.3637e+09,2.4328e+09,2.4706e+09,2.2246e+09
COL1A1,2.9143e+09,3.1987e+09,3.6120e+09,3.5286e+09,3.7231e+09,4.0164e+09,2.9529e+09,3.1709e+09,3.4834e+09,3.5453e+09,2.5931e+09,3.5914e+09
COL1A2,3.9003e+09,4.1886e+09,4.5732e+09,4.1011e+09,4.1567e+09,4.3470e+09,4.9199e+09,4.0725e+09,4.1229e+09,5.1472e+09,4.7191e+09,4.7166e+09
COL3A1,5.0361e+09,4.9505e+09,5.0943e+09,5.2072e+09,5.0890e+09,4.2536e+09,4.4922e+09,4.3411e+09,3.9895e+09,5.8233e+09,4.5210e+09,4.7021e+09
COL4A1,3.7954e+08,3.9753e+08,4.8887e+08,3.4569e+08,4.3539e+08,3.6582e+08,3.6912e+08,4.7265e+08,3.7016e+08,4.4922e+08,4.9046e+08,4.5982e+08
COL6A1,6.2078e+07,7.3801e+07,6.9876e+07,6.5996e+07,7.3273e+07,6.5403e+07,5.7713e+07,6.1044e+07,6.2429e+07,7.4083e+07,7.8304e+07,7.6070e+07
LAMB1,4.6972e+08,4.5901e+08,3.9187e+08,4.6552e+08,4.4901e+08,4.6389e+08,4.6893e+08,4.6030e+08,4.9674e+08,4.7991e+08,4.9356e+08,4.7412e+08
LAMC1,1.1842e+08,1.6110e+08,1.3127e+08,1.1883e+08,1.2864e+08,1.3833e+08,1.2340e+08,1.1664e+08,1.5167e+08,1.4834e+08,1.3790e+08,1.2392e+08
VTN,1.2389e+09,1.2397e+09,1.3145e+09,1.2319e+09,1.3408e+09,1.3382e+09,1.2629e+09,1.3438e+09,1.2623e+09,1.2461e+09,1.3202e+09,8.8073e+08
THBS1,6.9138e+09,5.8958e+09,5.4130e+09,5.8662e+09,6.1603e+09,5.6790e+09,5.9989e+09,6.5402e+09,5.9013e+09,6.3189e+09,6.0641e+09,5.9368e+09
TNC,2.5302e+08,2.8811e+08,2.3875e+08,2.5562e+08,2.4245e+08,2.5881e+08,2.2582e+08,2.6023e+08,2.1817e+08,2.8399e+08,2.7641e+08,2.8335e+08
FBLN1,9.6613e+07,9.3611e+07,8.2814e+07,8.8288e+07,8.3877e+07,9.6300e+07,8.2858e+07,9.6066e+07,7.9579e+07,1.0357e+08,7.9161e+07,1.0445e+08
FBN1,7.1074e+08,6.6465e+08,8.6660e+08,7.5796e+08,9.4062e+08,7.0977e+08,6.6094e+08,6.3540e+08,7.8621e+08,7.6951e+08,7.2471e+08,8.1718e+08
MMP2,2.8667e+08,2.5711e+08,2.7950e+08,3.3409e+08,2.6510e+08,2.7671e+08,2.5012e+08,2.6977e+08,2.7523e+08,3.0897e+08,2.4959e+08,2.8106e+08
MMP3,2.2996e+08,2.5210e+08,2.5144e+08,2.2546e+08,2.4754e+08,2.3632e+08,2.4789e+08,2.0300e+08,3.0115e+08,2.4934e+08,2.0119e+08,2.4432e+08
MMP9,8.0299e+08,7.6543e+08,5.8869e+08,6.2011e+08,4.0656e+08,6.4961e+08,7.3448e+08,4.9044e+08,5.6867e+08,5.9415e+08,4.9853e+08,6.9813e+08
MMP14,4.9945e+08,5.8128e+08,4.4341e+08,5.8827e+08,5.1481e+08,5.3081e+08,5.4912e+08,4.9251e+08,5.4547e+08,5.1522e+08,5.1936e+08,5.3535e+08
ADAMTS1,6.4340e+08,6.5314e+08,7.5545e+08,6.7101e+08,7.0215e+08,5.7276e+08,6.6359e+08,7.8505e+08,6.4877e+08,6.9909e+08,6.6362e+08,6.4713e+08
PLAU,5.4157e+08,6.0181e+08,5.1115e+08,5.8392e+08,5.8803e+08,7.5442e+08,5.1751e+08,6.1613e+08,6.5488e+08,6.8526e+08,6.6816e+08,7.1467e+08
CTSD,4.7137e+08,4.8710e+08,4.5609e+08,6.0749e+08,5.0855e+08,5.6341e+08,5.3222e+08,5.5433e+08,5.4639e+08,4.9397e+08,5.8048e+08,5.2846e+08
CTSB,4.9634e+08,6.0082e+08,6.1753e+08,6.2494e+08,5.7744e+08,5.9533e+08,5.5741e+08,6.4051e+08,5.4241e+08,5.8299e+08,4.0726e+08,7.3120e+08
IGFBP3,2.7565e+08,2.9095e+08,2.7459e+08,3.1069e+08,2.9530e+08,2.7907e+08,2.8869e+08,2.6062e+08,2.4162e+08,2.6965e+08,2.6973e+08,3.0335e+08
IGFBP5,6.5613e+08,6.1728e+08,6.4279e+08,5.7993e+08,5.6124e+08,6.0735e+08,6.5382e+08,5.9544e+08,5.2062e+08,5.8803e+08,6.6842e+08,6.4022e+08
IGFBP7,4.0621e+08,3.8020e+08,3.4016e+08,4.0191e+08,3.5321e+08,3.8951e+08,3.1637e+08,3.6842e+08,3.4077e+08,3.6787e+08,3.9953e+08,3.4344e+08
LGALS1,1.9758e+08,2.1169e+08,2.1618e+08,2.3184e+08,2.1621e+08,2.2326e+08,2.2020e+08,1.9953e+08,2.0971e+08,2.1995e+08,2.4329e+08,2.2445e+08
LGALS3,7.5946e+08,7.5900e+08,8.1158e+08,9.3707e+08,7.7349e+08,8.5739e+08,6.9231e+08,7.6192e+08,7.9567e+08,8.7347e+08,8.5205e+08,8.4437e+08
S100A8,1.6018e+08,1.5916e+08,1.1981e+08,1.0597e+08,2.1493e+08,1.9906e+08,1.0869e+08,8.1343e+07,2.0645e+08,2.2363e+08,1.9714e+08,1.7165e+08
S100A9,3.1107e+08,3.3438e+08,3.2803e+08,3.3919e+08,2.9665e+08,3.0659e+08,3.4648e+08,3.2628e+08,2.7986e+08,2.5500e+08,3.1972e+08,3.1219e+08
ANXA1,4.5503e+08,4.5864e+08,5.2152e+08,5.0236e+08,4.6268e+08,4.3377e+08,5.0903e+08,4.5830e+08,5.0398e+08,5.3322e+08,4.2850e+08,4.3397e+08
ANXA2,2.6710e+08,2.4581e+08,2.3313e+08,2.3469e+08,2.5430e+08,2.6112e+08,2.5192e+08,2.0896e+08,2.4494e+08,2.8262e+08,3.1060e+08,2.6331e+08
ANXA5,6.0010e+08,7.7606e+08,8.2648e+08,7.0915e+08,7.8949e+08,7.5198e+08,7.7074e+08,8.2527e+08,8.5486e+08,8.5293e+08,8.6835e+08,7.3038e+08
C3,1.5379e+09,1.1873e+09,1.2725e+09,1.4350e+09,1.3979e+09,1.1765e+09,1.3951e+09,1.4190e+09,1.4062e+09,1.4613e+09,1.3367e+09,1.4963e+09
C1S,5.7608e+08,5.9228e+08,5.4414e+08,6.2915e+08,5.7485e+08,6.4738e+08,7.2720e+08,5.5842e+08,5.1375e+08,5.5406e+08,6.4428e+08,6.4420e+08
CFH,2.9890e+08,2.7439e+08,3.3655e+08,3.8513e+08,3.6531e+08,3.0526e+08,3.0577e+08,3.3756e+08,3.1767e+08,3.7879e+08,3.6621e+08,3.7416e+08
CLU,2.9928e+09,3.6936e+09,3.8926e+09,3.8311e+09,3.7257e+09,3.6312e+09,3.6160e+09,3.1942e+09,3.7306e+09,4.0656e+09,3.8522e+09,4.4402e+09
APOE,5.0446e+08,5.1186e+08,4.8344e+08,5.1148e+08,4.8584e+08,4.0983e+08,5.2960e+08,4.8398e+08,4.5098e+08,5.0093e+08,4.8607e+08,4.7282e+08
APOA1,6.8619e+08,5.8537e+08,6.8028e+08,6.6958e+08,7.0611e+08,5.1378e+08,5.5853e+08,6.5831e+08,7.0629e+08,6.5154e+08,7.0135e+08,7.0760e+08
TF,4.4625e+09,4.3856e+09,4.2847e+09,4.9720e+09,4.6958e+09,5.1591e+09,4.2136e+09,5.1958e+09,4.1978e+09,5.1560e+09,5.2203e+09,4.6410e+09
LCN2,1.9979e+08,2.0488e+08,2.2101e+08,2.1088e+08,2.0069e+08,1.9514e+08,1.7685e+08,1.9896e+08,2.1138e+08,1.9911e+08,2.0388e+08,2.0932e+08
LTF,2.4443e+08,2.5985e+08,2.2781e+08,2.4225e+08,2.3812e+08,2.3017e+08,2.4040e+08,2.1227e+08,1.9927e+08,2.4957e+08,2.2914e+08,2.3084e+08
HP,1.8923e+08,2.0603e+08,1.7656e+08,1.9897e+08,1.7431e+08,1.8789e+08,1.6867e+08,1.6576e+08,1.8265e+08,2.0666e+08,2.2796e+08,1.9781e+08
ORM1,7.0787e+08,7.0549e+08,7.4362e+08,9.6307e+08,7.3916e+08,8.0582e+08,5.9273e+08,7.8077e+08,6.7265e+08,8.2694e+08,8.5105e+08,8.3545e+08
A2M,1.3351e+09,1.4278e+09,1.3167e+09,1.4841e+09,1.3556e+09,1.5731e+09,1.5063e+09,1.5848e+09,1.5178e+09,1.6336e+09,1.6395e+09,1.6804e+09
ITIH4,4.7406e+08,5.8015e+08,4.8293e+08,4.9212e+08,5.1124e+08,4.9165e+08,5.3774e+08,5.5936e+08,5.1687e+08,5.6287e+08,5.3645e+08,5.5271e+08
FGA,2.7898e+08,2.1471e+08,2.5481e+08,2.5079e+08,2.6552e+08,2.7370e+08,2.2939e+08,2.2882e+08,2.3506e+08,2.9216e+08,2.6285e+08,2.3479e+08
FGB,2.1776e+08,2.1357e+08,2.1681e+08,2.4014e+08,2.0591e+08,2.3502e+08,2.3430e+08,2.5096e+08,2.0799e+08,2.5545e+08,2.4063e+08,2.4895e+08
KNG1,5.9455e+07,6.1506e+07,6.7522e+07,8.0935e+07,6.8224e+07,6.5404e+07,6.3868e+07,6.6404e+07,6.3588e+07,7.6867e+07,6.5552e+07,7.1239e+07
AMBP,1.2853e+08,1.3177e+08,1.2474e+08,1.3369e+08,1.5338e+08,1.2529e+08,1.1995e+08,1.1677e+08,1.3095e+08,1.5665e+08,1.2660e+08,1.3785e+08
B2M,6.8070e+08,7.0823e+08,6.1150e+08,7.1871e+08,7.3196e+08,7.2945e+08,6.7870e+08,6.7889e+08,6.8193e+08,6.2731e+08,7.6652e+08,6.4286e+08
PPIB,6.7134e+08,6.3964e+08,7.5393e+08,7.6796e+08,5.5472e+08,7.2807e+08,5.7605e+08,7.8064e+08,7.0146e+08,7.3814e+08,6.3096e+08,7.3659e+08
CALR,1.5956e+08,1.3993e+08,1.5567e+08,1.3003e+08,1.5671e+08,1.5838e+08,1.4130e+08,1.6023e+08,1.5956e+08,1.7052e+08,1.4755e+08,1.5857e+08
HSP90B1,5.5357e+09,5.6435e+09,5.8753e+09,5.6980e+09,6.4415e+09,5.7281e+09,6.0907e+09,5.7169e+09,5.9271e+09,6.2570e+09,6.5949e+09,6.0132e+09
HSPA5,4.9066e+09,5.4971e+09,5.0033e+09,5.0461e+09,5.7857e+09,5.9425e+09,5.4189e+09,5.1619e+09,5.0681e+09,5.9729e+09,5.5608e+09,5.9081e+09
PDIA3,7.1120e+08,6.6188e+08,6.7029e+08,8.0016e+08,6.3149e+08,7.8543e+08,6.2748e+08,5.4717e+08,6.4433e+08,6.4400e+08,7.1490e+08,7.6110e+08
P4HB,3.3101e+08,2.7519e+08,4.0026e+08,3.3762e+08,3.4732e+08,3.6195e+08,3.4341e+08,3.2256e+08,3.2100e+08,3.5041e+08,3.6086e+08,3.7791e+08
ENO1,3.0138e+09,2.7046e+09,2.5653e+09,3.0919e+09,2.6807e+09,2.6929e+09,2.8442e+09,2.7622e+09,2.1177e+09,2.9102e+09,3.1220e+09,2.5837e+09
GAPDH,5.6557e+09,5.3615e+09,5.2876e+09,6.0015e+09,4.9108e+09,5.2598e+09,4.6323e+09,5.3663e+09,6.1710e+09,6.0836e+09,5.9340e+09,6.5494e+09
ACTB,1.3226e+09,1.3026e+09,1.5688e+09,1.4886e+09,1.5952e+09,1.4755e+09,1.6476e+09,1.3646e+09,1.4056e+09,1.5202e+09,1.3812e+09,1.5732e+09
VIM,6.7461e+09,5.7216e+09,5.5578e+09,6.5227e+09,6.7403e+09,7.2869e+09,6.6699e+09,6.6153e+09,6.1894e+09,6.2192e+09,6.4932e+09,6.3010e+09
KRT8,7.0382e+08,6.9571e+08,8.0220e+08,6.4531e+08,6.1587e+08,7.2961e+08,6.8615e+08,7.8501e+08,8.1588e+08,9.1495e+08,7.5258e+08,7.8743e+08
KRT18,3.6010e+08,2.9832e+08,2.9273e+08,3.5428e+08,3.0716e+08,3.4292e+08,3.2589e+08,3.2242e+08,2.7494e+08,3.7340e+08,3.1597e+08,2.8438e+08
SPP1,5.9790e+08,5.1085e+08,4.9652e+08,5.3554e+08,5.7697e+08,5.4976e+08,5.4007e+08,5.6095e+08,5.3078e+08,6.6289e+08,6.0551e+08,5.8884e+08
POSTN,5.1807e+08,5.3681e+08,6.5161e+08,5.5301e+08,6.0481e+08,5.2692e+08,6.1213e+08,5.7067e+08,5.6619e+08,5.7510e+08,6.5823e+08,5.2401e+08
BGN,6.4195e+08,5.7840e+08,6.4414e+08,5.7325e+08,6.6312e+08,6.9169e+08,5.8934e+08,5.7533e+08,6.9971e+08,6.7396e+08,6.5634e+08,6.6083e+08
LUM,2.6604e+08,2.6319e+08,2.3025e+08,2.2806e+08,2.6564e+08,2.5171e+08,2.9171e+08,2.4681e+08,2.6017e+08,2.6573e+08,2.4413e+08,2.6044e+08
FMOD,1.2392e+08,1.1642e+08,1.4081e+08,1.6015e+08,1.4237e+08,1.3658e+08,1.4822e+08,1.4277e+08,1.6168e+08,1.5031e+08,1.4946e+08,1.5624e+08
VCAN,1.9922e+08,1.8459e+08,2.1351e+08,2.2567e+08,2.2495e+08,1.9783e+08,2.1911e+08,2.0536e+08,1.8946e+08,2.0345e+08,1.7922e+08,2.1177e+08
NID1,1.9548e+08,1.8922e+08,2.2155e+08,1.9967e+08,2.1786e+08,2.1637e+08,2.2394e+08,2.3540e+08,2.0293e+08,1.9411e+08,2.1626e+08,2.0291e+08
HSPG2,3.2176e+08,3.4549e+08,3.9509e+08,3.2091e+08,3.2469e+08,3.6460e+08,3.2973e+08,3.1700e+08,2.7292e+08,3.4074e+08,3.8086e+08,4.3199e+08
AGRN,1.1496e+08,1.4127e+08,1.3023e+08,1.5151e+08,1.5019e+08,1.3909e+08,1.5190e+08,1.3205e+08,1.4111e+08,1.6933e+08,1.5403e+08,1.2766e+08
CD44,7.7883e+08,7.7269e+08,7.6497e+08,7.5330e+08,6.5576e+08,7.9840e+08,5.6566e+08,7.2352e+08,7.5125e+08,6.7337e+08,7.4934e+08,9.2332e+08
CD59,3.2961e+08,3.5676e+08,3.1403e+08,4.0399e+08,3.7325e+08,3.2052e+08,3.3883e+08,3.4450e+08,3.0633e+08,3.7267e+08,3.2338e+08,3.5406e+08
ICAM1,7.4575e+07,6.4597e+07,7.3318e+07,7.8486e+07,6.5397e+07,7.7909e+07,6.8912e+07,6.7830e+07,6.7184e+07,8.4147e+07,7.2705e+07,7.7824e+07
ENG,2.5996e+08,2.9837e+08,2.7862e+08,2.7199e+08,3.1172e+08,3.0097e+08,3.2448e+08,3.2689e+08,2.7579e+08,2.7426e+08,3.3074e+08,3.0451e+08
FLT1,7.2426e+08,5.6498e+08,7.5836e+08,6.3096e+08,7.3230e+08,6.3898e+08,6.2205e+08,7.4182e+08,6.5411e+08,6.5661e+08,6.6747e+08,6.6341e+08
NRP1,7.9808e+08,6.9673e+08,7.8885e+08,7.3043e+08,7.0822e+08,7.9570e+08,7.5176e+08,6.7188e+08,7.2659e+08,7.1720e+08,7.3082e+08,7.4746e+08
NRP2,3.2652e+08,2.7182e+08,3.0660e+08,3.2807e+08,2.9234e+08,3.3841e+08,2.6883e+08,2.5357e+08,2.8744e+08,3.6300e+08,3.3467e+08,3.0250e+08
MET,6.6119e+07,7.0171e+07,6.8234e+07,6.7933e+07,6.7640e+07,6.4721e+07,6.4160e+07,7.3020e+07,7.7495e+07,7.5104e+07,6.9565e+07,6.4518e+07
EGFR,4.1757e+08,3.9876e+08,4.7459e+08,3.9098e+08,4.2087e+08,4.9807e+08,4.4537e+08,4.7030e+08,4.1419e+08,3.8840e+08,4.5004e+08,4.7435e+08
ERBB3,5.6083e+08,5.7811e+08,6.3872e+08,6.5257e+08,6.6837e+08,7.1481e+08,6.1541e+08,6.0202e+08,5.7914e+08,5.8020e+08,6.6553e+08,6.4944e+08
FGFR1,4.3264e+08,4.2663e+08,4.0143e+08,3.4591e+08,3.0896e+08,3.4875e+08,3.5705e+08,3.5370e+08,3.8877e+08,3.9189e+08,4.7328e+08,4.0548e+08
TGFBR2,3.2255e+08,3.2798e+08,3.4159e+08,3.6458e+08,2.8839e+08,3.5534e+08,2.8141e+08,3.1142e+08,2.9050e+08,2.7550e+08,3.1258e+08,3.9004e+08
BMP1,3.6616e+08,4.1889e+08,4.4028e+08,3.8244e+08,4.6701e+08,4.3581e+08,4.5335e+08,4.7003e+08,4.1761e+08,4.4101e+08,3.6740e+08,4.3653e+08
BMP4,7.2456e+08,6.7886e+08,6.4907e+08,6.0866e+08,6.2688e+08,6.4628e+08,6.2972e+08,6.2061e+08,6.4631e+08,7.0907e+08,5.5547e+08,6.1993e+08
GDF11,8.0684e+08,8.8384e+08,6.9158e+08,8.3065e+08,8.5389e+08,8.4146e+08,8.0956e+08,7.4625e+08,7.7236e+08,8.3090e+08,7.4979e+08,7.1637e+08
INHBA,1.6541e+08,1.8787e+08,1.8341e+08,1.9880e+08,1.6881e+08,1.4737e+08,1.8661e+08,1.9964e+08,1.8285e+08,1.5320e+08,1.8081e+08,1.5539e+08
FST,7.7666e+08,7.6861e+08,6.6157e+08,7.2075e+08,6.2633e+08,7.7942e+08,5.9811e+08,7.4847e+08,6.9992e+08,6.9867e+08,7.5174e+08,6.3638e+08
SFRP1,4.5574e+08,4.3463e+08,5.0337e+08,4.8269e+08,4.4090e+08,4.7257e+08,5.3981e+08,4.1798e+08,4.3662e+08,4.8538e+08,4.5585e+08,3.8971e+08
DKK1,6.8256e+08,5.1597e+08,6.5165e+08,6.7872e+08,7.3649e+08,6.7640e+08,6.4298e+08,7.2658e+08,6.8040e+08,7.1151e+08,7.0589e+08,6.0792e+08
SOCS3,6.9866e+08,7.1115e+08,7.4375e+08,6.4247e+08,7.6021e+08,6.8401e+08,6.1527e+08,7.5774e+08,6.8775e+08,8.2808e+08,6.7823e+08,6.9992e+08
HSPB1,8.6667e+08,7.4824e+08,8.0884e+08,8.6343e+08,7.9775e+08,7.5938e+08,8.4535e+08,6.7851e+08,6.9532e+08,7.9731e+08,7.1108e+08,9.4337e+08
